city,city_code,province,tier_group,tier_label,ntl_growth_rate,gdp_growth_rate,population_growth_rate,growth_intensity,growth_efficiency,coordination_index,edu_count,medical_count,commercial_count,support_index
六盘水市,"520000000000",贵州省,T3,Third-tier Cities,3.9959,1.1688,0.1194,1.76136666666667,9.78894472361809,0.1828,"1","0","2","0.597253156409352"
兰州市,"620000000000",甘肃省,T2,Second-tier Cities,-0.1172,1.0619,0.0482,0.330966666666667,22.0311203319502,0.4062,"70","128","1209","5.40695597333126"
兴安盟,"152000000000",内蒙古自治区,T3,Third-tier Cities,1.0674,,,,,,"1","0","4","0.767528364331349"
内江市,"511000000000",四川省,T3,Third-tier Cities,6.381,0.8875,-0.0647,2.40126666666667,-13.7171561051005,0.1116,"1","0","7","0.924196240746594"
凉山彝族自治州,"513000000000",四川省,T3,Third-tier Cities,0.9028,,,,,,"4","1","50","2.07813690857279"
包头市,"150000000000",内蒙古自治区,T3,Third-tier Cities,0.0578,1.3012,0.0022,0.453733333333333,,0.3711,"17","13","38","3.06433024454702"
北京市,"110000000000",北京市,T1,Super-tier Cities,0.3679,1.3665,0.1006,0.611666666666667,13.5834990059642,0.3985,"20","31","699","4.35377955852218"
北海市,"451000000000",广西壮族自治区,T3,Third-tier Cities,1.1618,1.7233,0.0886,0.991233333333333,19.4503386004515,0.3565,"5","7","58","2.64957948493787"
十堰市,"420000000000",湖北省,T3,Third-tier Cities,2.4393,1.4138,-0.0202,1.27763333333333,-69.990099009901,0.2781,"8","0","10","1.53170661671153"
南京市,"320000000000",江苏省,T2,Second-tier Cities,1.3237,1.2961,0.1574,0.925733333333333,8.23443456162643,0.3942,"113","79","1247","5.41584087733258"
南充市,"511000000000",四川省,T3,Third-tier Cities,5.5537,1.4222,-0.0666,2.3031,-21.3543543543543,0.1333,"3","3","11","1.75249845734259"
南宁市,"450000000000",广西壮族自治区,T2,Second-tier Cities,0.9948,1.3831,0.1352,0.8377,10.2300295857988,0.4158,"32","69","387","4.56866938104637"
