city,corridor_id,corridor_nm,node_type,year,gdp_value,population_value,ntl_value,gdp_index,population_index,ntl_index
邯郸市,KG,Beijing-Guangzhou,middle,2022,43459000,1064,9886,169.28,107.14,168.36
郑州市,KG,Beijing-Guangzhou,core,2012,55497869,1072.5,18035,100,100,100
郑州市,KG,Beijing-Guangzhou,core,2013,62018473,919.1,21866,111.75,85.7,121.24
郑州市,KG,Beijing-Guangzhou,core,2014,67769890,937.8,21920,122.11,87.44,121.54
郑州市,KG,Beijing-Guangzhou,core,2015,73454000,810.49,24329,132.35,75.57,134.9
郑州市,KG,Beijing-Guangzhou,core,2016,81309097,827,25190,146.51,77.11,139.67
郑州市,KG,Beijing-Guangzhou,core,2017,93017180.26,842,26766,167.6,78.51,148.41
郑州市,KG,Beijing-Guangzhou,core,2018,106701400,864,27141,192.26,80.56,150.49
郑州市,KG,Beijing-Guangzhou,core,2019,115864172.9,882,28368,208.77,82.24,157.29
郑州市,KG,Beijing-Guangzhou,core,2020,118503478,0,29078,213.53,0,161.23
郑州市,KG,Beijing-Guangzhou,core,2021,125379765,911,32506,225.92,84.94,180.24
郑州市,KG,Beijing-Guangzhou,core,2022,127358091,922,32015,229.48,85.97,177.52
郴州市,KG,Beijing-Guangzhou,middle,2012,14014100,509.8,1042,100,100,100
郴州市,KG,Beijing-Guangzhou,middle,2013,15449000,512.1,4137,110.24,100.45,397.02
郴州市,KG,Beijing-Guangzhou,middle,2014,17013000,518.8,3755,121.4,101.77,360.36
郴州市,KG,Beijing-Guangzhou,middle,2015,18438600,528.27,3839,131.57,103.62,368.43
郴州市,KG,Beijing-Guangzhou,middle,2016,19982700,535,3308,142.59,104.94,317.47
郴州市,KG,Beijing-Guangzhou,middle,2017,20184700,534,3324,144.03,104.75,319
郴州市,KG,Beijing-Guangzhou,middle,2018,22089300,535,3398,157.62,104.94,326.1
郴州市,KG,Beijing-Guangzhou,middle,2019,24002600,534,3143,171.27,104.75,301.63
郴州市,KG,Beijing-Guangzhou,middle,2020,24820100,0,3051,177.11,0,292.8
郴州市,KG,Beijing-Guangzhou,middle,2021,27488700,527,3190,196.15,103.37,306.14
郴州市,KG,Beijing-Guangzhou,middle,2022,29804900,525,3235,212.68,102.98,310.46
长沙市,KG,Beijing-Guangzhou,core,2012,61979451,660.6,7007,100,100,100
长沙市,KG,Beijing-Guangzhou,core,2013,69022679,662.8,21187,111.36,100.33,302.37
长沙市,KG,Beijing-Guangzhou,core,2014,75346767,671.4,19574,121.57,101.63,279.35
长沙市,KG,Beijing-Guangzhou,core,2015,85025984,680.36,20516,137.18,102.99,292.79
长沙市,KG,Beijing-Guangzhou,core,2016,91664027,696,21653,147.89,105.36,309.02
长沙市,KG,Beijing-Guangzhou,core,2017,100501981,709,22433,162.15,107.33,320.15
长沙市,KG,Beijing-Guangzhou,core,2018,104056317,729,23366,167.89,110.35,333.47
长沙市,KG,Beijing-Guangzhou,core,2019,115527308,738,26558,186.4,111.72,379.02
长沙市,KG,Beijing-Guangzhou,core,2020,121425166,0,25518,195.91,0,364.18
长沙市,KG,Beijing-Guangzhou,core,2021,132707012,760,28560,214.11,115.05,407.59
长沙市,KG,Beijing-Guangzhou,core,2022,139661128,768,30369,225.33,116.26,433.41
韶关市,KG,Beijing-Guangzhou,core,2012,8185500,326.5,1497,100,100,100
韶关市,KG,Beijing-Guangzhou,core,2013,8984100,328,3580,109.76,100.46,239.14
韶关市,KG,Beijing-Guangzhou,core,2014,9619000,329.1,3660,117.51,100.8,244.49
韶关市,KG,Beijing-Guangzhou,core,2015,9878600,330.21,3450,120.68,101.14,230.46
韶关市,KG,Beijing-Guangzhou,core,2016,10406900,334,3182,127.14,102.3,212.56
韶关市,KG,Beijing-Guangzhou,core,2017,11336200,335,3936,138.49,102.6,262.93
韶关市,KG,Beijing-Guangzhou,core,2018,12174800,337,4249,148.74,103.22,283.83
韶关市,KG,Beijing-Guangzhou,core,2019,13163500,337,4328,160.81,103.22,289.11
韶关市,KG,Beijing-Guangzhou,core,2020,13751600,0,5143,168,0,343.55
韶关市,KG,Beijing-Guangzhou,core,2021,15500600,337,6638,189.37,103.22,443.42
韶关市,KG,Beijing-Guangzhou,core,2022,15634700,337,5891,191,103.22,393.52
驻马店市,KG,Beijing-Guangzhou,middle,2012,13575200,899.2,2003,100,100,100
驻马店市,KG,Beijing-Guangzhou,middle,2013,15189200,896,5779,111.89,99.64,288.52
驻马店市,KG,Beijing-Guangzhou,middle,2014,16858300,920.6,6357,124.18,102.38,317.37
驻马店市,KG,Beijing-Guangzhou,middle,2015,18103700,930.88,5902,133.36,103.52,294.66
驻马店市,KG,Beijing-Guangzhou,middle,2016,19646100,949,5231,144.72,105.54,261.16
驻马店市,KG,Beijing-Guangzhou,middle,2017,22048600,961,6453,162.42,106.87,322.17
驻马店市,KG,Beijing-Guangzhou,middle,2018,24852600,964,7390,183.07,107.21,368.95
驻马店市,KG,Beijing-Guangzhou,middle,2019,27155600,964,8775,200.04,107.21,438.09
驻马店市,KG,Beijing-Guangzhou,middle,2020,28428100,0,9093,209.41,0,453.97
驻马店市,KG,Beijing-Guangzhou,middle,2021,30828200,967,11310,227.09,107.54,564.65
驻马店市,KG,Beijing-Guangzhou,middle,2022,32573600,966,9802,239.95,107.43,489.37
鹤壁市,KG,Beijing-Guangzhou,middle,2012,5447400,163.1,1711,100,100,100
鹤壁市,KG,Beijing-Guangzhou,middle,2013,6221200,165.9,2308,114.2,101.72,134.89
鹤壁市,KG,Beijing-Guangzhou,middle,2014,6822000,166.9,2694,125.23,102.33,157.45
鹤壁市,KG,Beijing-Guangzhou,middle,2015,7337500,168.74,2915,134.7,103.46,170.37
鹤壁市,KG,Beijing-Guangzhou,middle,2016,7927900,170,2866,145.54,104.23,167.5
鹤壁市,KG,Beijing-Guangzhou,middle,2017,8600000,170,3439,157.87,104.23,200.99
鹤壁市,KG,Beijing-Guangzhou,middle,2018,9211700,171,3986,169.1,104.84,232.96
鹤壁市,KG,Beijing-Guangzhou,middle,2019,9668500,171,5476,177.49,104.84,320.05
鹤壁市,KG,Beijing-Guangzhou,middle,2020,9719600,0,5691,178.43,0,332.61
鹤壁市,KG,Beijing-Guangzhou,middle,2021,10228100,171,5664,187.76,104.84,331.03
鹤壁市,KG,Beijing-Guangzhou,middle,2022,10253300,172,6115,188.22,105.46,357.39
